,product_type_no,graphical_appearance_no,colour_group_code,index_code,section_no,garment_group_no
213,253,1010016,51,I,79,1002
214,253,1010016,40,I,79,1002
215,253,1010016,82,I,79,1002
216,255,1010016,9,H,72,1002
217,307,1010016,9,I,79,1017
218,307,1010016,7,I,79,1017
219,307,1010016,50,I,79,1017
220,307,1010016,19,I,79,1017
221,307,1010016,52,I,79,1017
222,273,1010016,9,A,8,1005
223,273,1010016,73,A,8,1005
224,274,1010001,73,G,44,1002
225,304,1010016,9,B,62,1021
226,304,1010010,9,B,62,1021
227,253,1010017,73,H,72,1002
228,253,1010017,73,H,72,1002
229,253,1010010,9,H,72,1002
230,304,1010016,9,B,62,1021
231,304,1010010,7,B,62,1021
232,304,1010016,43,B,62,1021
233,304,1010016,93,B,62,1021
234,304,1010016,13,B,62,1021
235,304,1010016,43,B,62,1021
236,304,1010016,33,B,62,1021
237,304,1010010,73,B,62,1021
238,265,1010017,10,A,16,1002
239,255,1010016,11,D,51,1002
240,255,1010017,10,D,51,1002
241,255,1010010,22,D,51,1002
242,259,1010004,63,F,55,1011
243,259,1010004,23,F,55,1011
244,259,1010004,22,F,55,1011
245,259,1010004,93,F,55,1011
246,259,1010004,8,F,55,1011
247,69,1010010,8,S,22,1019
248,69,1010010,8,S,22,1019
249,75,1010016,9,S,22,1019
250,298,1010016,9,B,60,1018
251,297,1010024,51,B,62,1017
252,297,1010017,72,B,62,1017
253,297,1010017,51,B,62,1017
254,297,1010016,10,B,62,1017
255,297,1010017,72,B,62,1017
256,297,1010017,73,B,62,1017
257,94,1010016,1,D,52,1020
258,94,1010016,9,D,52,1020
259,94,1010016,22,D,52,1020
260,94,1010016,10,D,52,1020
261,265,1010016,9,D,51,1002
262,265,1010016,93,D,51,1002
263,265,1010016,53,D,51,1002
264,265,1010017,10,D,51,1002
265,265,1010016,42,D,51,1002
266,265,1010016,19,D,51,1002
267,265,1010016,43,D,51,1002
268,265,1010016,42,D,51,1002
269,265,1010016,19,D,51,1002
270,265,1010016,53,D,51,1002
271,265,1010016,32,D,51,1002
272,265,1010010,7,D,51,1002
273,265,1010017,10,D,51,1002
274,272,1010016,19,F,55,1009
275,272,1010016,14,F,55,1009
276,272,1010016,9,F,55,1009
277,272,1010016,8,F,55,1009
278,272,1010016,73,F,55,1009
279,73,1010016,9,D,52,1019
280,73,1010016,9,D,52,1019
281,73,1010016,20,D,52,1019
282,73,1010016,93,D,52,1019
283,73,1010016,7,D,52,1019
284,73,1010016,6,D,52,1019
285,72,1010016,9,C,66,1019
286,72,1010016,15,C,66,1019
287,72,1010016,5,C,66,1019
288,72,1010016,31,C,66,1019
289,72,1010016,31,C,66,1019
290,255,1010016,9,A,16,1002
291,81,1010016,17,C,66,1019
292,81,1010016,9,C,66,1019
293,81,1010016,9,C,66,1019
294,81,1010016,6,C,66,1019
295,255,1010016,10,D,51,1002
296,255,1010016,9,D,51,1002
297,255,1010010,63,D,51,1002
298,255,1010010,19,D,51,1002
299,255,1010010,7,D,51,1002
300,255,1010016,72,D,51,1002
301,255,1010016,52,D,51,1002
302,304,1010016,9,B,62,1021
303,304,1010010,9,B,62,1021
304,245,1010010,8,D,58,1003
305,74,1010016,31,C,66,1019
306,295,1010001,91,G,44,1017
307,295,1010001,8,G,44,1017
308,295,1010001,10,G,44,1017
309,295,1010008,91,G,44,1017
310,295,1010001,22,G,44,1017
311,302,1010016,13,B,62,1021
312,302,1010016,9,B,62,1021
313,302,1010016,13,B,62,1021
314,253,1010016,9,A,16,1002
315,253,1010010,7,A,16,1002
316,253,1010016,10,A,16,1002
317,253,1010017,13,A,16,1002
318,253,1010001,11,A,16,1002
319,71,1010016,9,C,65,1019
320,71,1010016,53,C,65,1019
321,71,1010016,17,C,65,1019
322,272,1010016,8,F,21,1009
323,272,1010016,19,F,21,1009
324,272,1010016,9,F,21,1009
325,272,1010016,19,F,21,1009
326,272,1010016,14,F,21,1009
327,265,1010016,9,A,16,1002
328,265,1010016,19,A,16,1002
329,265,1010017,73,A,16,1002
330,265,1010001,12,A,16,1002
331,265,1010017,11,A,16,1002
332,265,1010016,7,A,16,1002
333,265,1010017,72,A,16,1002
334,265,1010017,63,A,16,1002
335,265,1010016,33,A,16,1002
336,81,1010016,17,C,66,1019
337,81,1010016,31,C,66,1019
338,81,1010016,93,C,66,1019
339,81,1010016,31,C,66,1019
340,75,1010016,9,C,65,1019
341,75,1010016,31,C,65,1019
342,75,1010016,13,C,65,1019
343,75,1010010,13,C,65,1019
344,75,1010010,6,C,65,1019
345,75,1010016,12,C,65,1019
346,71,1010016,9,C,65,1019
347,71,1010010,6,C,65,1019
348,272,1010016,9,S,22,1005
349,273,1010016,9,S,22,1005
350,67,1010016,9,C,65,1019
351,67,1010009,5,C,65,1019
352,67,1010016,31,C,65,1019
353,67,1010009,5,C,65,1019
354,252,1010016,9,S,22,1005
355,255,1010016,9,I,79,1002
356,255,1010017,52,I,79,1002
357,255,1010012,73,I,79,1002
358,255,1010016,30,I,79,1002
359,255,1010001,7,I,79,1002
360,255,1010017,10,I,79,1002
361,255,1010010,51,I,79,1002
362,255,1010001,10,I,79,1002
363,72,1010016,11,C,66,1019
364,302,1010016,9,B,62,1021
365,302,1010010,13,B,62,1021
366,302,1010010,43,B,62,1021
367,304,1010016,9,B,62,1021
368,304,1010016,13,B,62,1021
369,304,1010016,13,B,62,1021
370,304,1010016,17,B,62,1021
371,304,1010016,8,B,62,1021
372,304,1010016,17,B,62,1021
373,71,1010016,9,D,52,1019
374,71,1010016,31,D,52,1019
375,71,1010016,63,D,52,1019
376,71,1010009,51,D,52,1019
377,71,1010009,9,D,52,1019
378,71,1010016,9,D,52,1019
379,71,1010016,53,D,52,1019
380,252,1010017,73,F,26,1002
381,69,1010016,9,F,25,1019
382,69,1010010,8,F,25,1019
383,304,1010016,9,B,62,1021
384,304,1010016,43,B,62,1021
385,304,1010016,73,B,62,1021
386,304,1010016,9,B,62,1021
387,304,1010016,13,B,62,1021
388,254,1010016,73,H,72,1002
389,254,1010016,7,H,72,1002
390,254,1010016,10,H,72,1002
391,70,1010016,10,C,66,1019
392,297,1010001,42,B,62,1017
393,297,1010014,51,B,62,1017
394,297,1010010,6,B,62,1017
395,273,1010010,9,D,51,1002
396,254,1010016,9,A,16,1002
397,254,1010016,10,A,16,1002
398,254,1010017,73,A,16,1002
399,308,1010016,9,A,16,1002
400,308,1010010,7,A,16,1002
401,308,1010010,81,A,16,1002
402,308,1010016,52,A,16,1002
403,308,1010010,71,A,16,1002
404,308,1010010,43,A,16,1002
405,308,1010010,11,A,16,1002
406,308,1010010,62,A,16,1002
407,308,1010010,30,A,16,1002
408,308,1010016,73,A,16,1002
409,308,1010010,51,A,16,1002
410,308,1010010,73,A,16,1002
411,308,1010010,13,A,16,1002
412,308,1010010,71,A,16,1002
413,308,1010010,13,A,16,1002
414,308,1010016,81,A,16,1002
415,308,1010016,10,A,16,1002
416,308,1010016,31,A,16,1002
417,308,1010016,19,A,16,1002
418,308,1010010,7,A,16,1002
419,308,1010016,63,A,16,1002
420,308,1010010,7,A,16,1002
421,308,1010016,52,A,16,1002
422,308,1010016,10,A,16,1002
423,254,1010010,53,D,51,1002
424,254,1010016,73,D,51,1002
425,254,1010017,10,D,51,1002
426,304,1010016,9,B,62,1021
427,255,1010010,73,D,51,1002
428,255,1010010,31,D,51,1002
429,272,1010016,9,G,44,1002
430,273,1010001,8,D,58,1005
431,273,1010014,9,D,58,1005
432,273,1010001,33,D,58,1009
433,273,1010001,14,D,58,1009
434,273,1010001,42,D,58,1009
435,273,1010001,93,D,58,1009
436,273,1010001,9,D,58,1009
437,273,1010009,9,D,58,1009
438,66,1010016,9,C,65,1019
439,66,1010016,12,C,65,1019
440,272,1010016,9,S,22,1005
441,272,1010016,9,S,22,1005
442,264,1010016,9,F,23,1008
443,264,1010016,9,F,23,1008
444,264,1010010,7,F,23,1008
445,264,1010010,8,F,23,1008
446,264,1010010,73,F,23,1008
447,264,1010026,73,F,23,1008
448,264,1010016,73,F,23,1008
449,274,1010001,73,S,22,1005
450,273,1010016,9,D,51,1002
451,302,1010016,9,B,62,1021
452,302,1010010,8,B,62,1021
453,302,1010010,43,B,62,1021
454,302,1010010,13,B,62,1021
455,302,1010020,9,B,62,1021
456,302,1010020,9,B,62,1021
457,252,1010016,73,A,15,1003
458,252,1010016,10,A,15,1003
459,252,1010013,51,A,15,1003
460,252,1010013,71,A,15,1003
461,252,1010026,14,A,15,1003
462,252,1010026,73,A,15,1003
463,252,1010027,51,A,15,1003
464,252,1010013,9,A,15,1003
465,256,1010016,73,G,44,1002
466,256,1010017,73,G,44,1002
467,256,1010017,13,G,44,1002
468,308,1010010,7,G,44,1002
469,308,1010016,51,G,44,1002
470,308,1010016,91,G,44,1002
471,308,1010016,73,G,44,1002
472,75,1010014,42,F,25,1019
473,295,1010001,41,G,44,1017
474,295,1010001,51,G,44,1017
475,295,1010001,41,G,44,1017
476,295,1010001,81,G,44,1017
477,295,1010001,71,G,44,1017
478,295,1010001,51,G,44,1017
479,295,1010001,10,G,44,1017
480,295,1010001,51,G,44,1017
481,272,1010023,71,A,8,1009
482,272,1010023,10,A,8,1009
483,272,1010023,71,A,8,1009
484,272,1010023,72,A,8,1009
485,272,1010023,72,A,8,1009
486,272,1010023,73,A,8,1009
487,272,1010023,71,A,8,1009
488,272,1010023,72,A,8,1009
489,272,1010023,72,A,8,1009
490,272,1010023,73,A,8,1009
491,304,1010016,9,B,62,1021
492,304,1010016,7,B,62,1021
493,274,1010023,72,F,21,1025
494,304,1010016,9,B,62,1021
495,272,1010016,9,D,58,1005
496,272,1010016,9,D,58,1013
497,272,1010001,6,D,58,1013
498,272,1010016,43,D,58,1013
499,272,1010001,19,D,58,1013
500,272,1010016,10,D,58,1009
501,272,1010016,72,D,58,1009
502,272,1010016,19,D,58,1013
503,59,1010026,9,B,60,1018
504,306,1010016,9,B,61,1017
505,306,1010016,10,B,61,1017
506,306,1010016,12,B,61,1017
507,306,1010016,10,B,61,1017
508,306,1010016,17,B,61,1017
509,306,1010016,17,B,61,1017
510,302,1010014,19,S,22,1019
511,302,1010010,7,S,22,1019
512,302,1010012,73,S,22,1019
513,302,1010017,9,S,22,1019
514,302,1010017,43,S,22,1019
515,302,1010017,9,S,22,1019
516,302,1010017,10,S,22,1019
517,302,1010005,73,S,22,1019
518,302,1010017,21,S,22,1019
519,265,1010001,51,G,44,1002
520,265,1010017,73,G,44,1002
521,265,1010001,73,G,44,1002
522,265,1010001,11,G,44,1002
523,265,1010001,51,G,44,1002
524,265,1010001,73,G,44,1002
525,265,1010001,51,G,44,1002
526,272,1010018,9,A,15,1009
527,245,1010018,7,D,58,1005
528,245,1010016,9,D,58,1005
529,245,1010018,12,D,58,1005
530,245,1010018,43,D,58,1005
531,245,1010016,19,D,58,1005
532,245,1010016,9,D,58,1005
533,245,1010018,7,D,58,1005
534,245,1010018,52,D,58,1005
535,245,1010018,43,D,58,1005
536,255,1010001,73,G,44,1002
537,255,1010017,22,G,44,1002
538,272,1010018,9,D,58,1013
539,272,1010018,8,D,58,1013
540,298,1010001,9,B,60,1018
541,298,1010020,15,B,60,1018
542,59,1010026,15,B,60,1018
543,253,1010001,73,H,79,1017
544,253,1010001,6,H,79,1017
545,253,1010001,10,H,79,1017
546,253,1010012,11,H,79,1017
547,253,1010001,6,H,79,1017
548,253,1010012,51,H,79,1017
549,253,1010012,11,H,79,1017
550,255,1010010,31,A,16,1002
551,255,1010016,73,A,16,1002
552,87,1010016,9,D,52,1020
553,255,1010016,71,I,72,1002
554,255,1010016,10,I,72,1002
555,255,1010016,93,I,72,1002
556,255,1010016,73,I,72,1002
557,255,1010016,92,I,72,1002
558,255,1010016,63,I,72,1002
559,255,1010016,51,I,72,1002
560,302,1010013,10,H,79,1021
561,302,1010016,51,H,79,1021
562,253,1010016,9,S,22,1005
563,253,1010010,7,S,22,1005
564,253,1010010,82,S,22,1005
565,302,1010013,9,I,79,1021
566,302,1010013,10,I,79,1021
567,272,1010016,73,A,8,1009
568,272,1010016,9,A,8,1009
569,272,1010016,19,A,8,1009
570,272,1010016,73,A,8,1009
571,89,1010016,73,F,27,1020
572,89,1010016,17,F,27,1020
573,254,1010016,9,A,16,1002
574,255,1010016,10,H,72,1002
575,255,1010016,73,H,72,1002
576,255,1010016,92,H,72,1002
577,255,1010016,32,H,72,1002
578,255,1010016,71,H,72,1002
579,255,1010016,21,H,72,1002
580,255,1010016,81,H,72,1002
581,255,1010016,10,I,72,1002
582,255,1010016,73,I,72,1002
583,255,1010016,71,I,72,1002
584,255,1010016,32,I,72,1002
585,255,1010016,21,I,72,1002
586,255,1010016,92,I,72,1002
587,255,1010016,71,I,72,1002
588,255,1010016,91,I,72,1002
589,255,1010016,42,I,72,1002
590,255,1010016,81,I,72,1002
591,302,1010016,9,B,62,1021
592,302,1010016,12,B,62,1021
593,304,1010016,9,B,62,1021
594,304,1010016,13,B,62,1021
595,302,1010016,9,B,62,1021
596,302,1010016,12,B,62,1021
597,302,1010001,12,B,62,1021
598,302,1010016,9,B,62,1021
599,302,1010016,10,B,62,1021
600,302,1010016,73,B,62,1021
601,302,1010016,73,B,62,1021
602,302,1010016,62,B,62,1021
603,302,1010016,62,B,62,1021
604,302,1010016,73,B,62,1021
605,302,1010016,52,B,62,1021
606,81,1010016,9,C,66,1019
607,81,1010016,17,C,66,1019
608,81,1010016,13,C,66,1019
609,81,1010019,19,C,66,1019
610,253,1010012,32,H,72,1002
611,253,1010012,73,H,72,1002
612,253,1010012,72,H,72,1002
613,254,1010017,9,A,8,1005
614,254,1010017,9,A,8,1005
615,254,1010007,7,A,8,1005
616,254,1010002,7,A,8,1005
617,254,1010001,10,A,8,1005
618,81,1010016,9,C,66,1019
619,81,1010016,13,C,66,1019
620,81,1010001,17,C,66,1019
621,81,1010010,12,C,66,1019
622,81,1010016,17,C,66,1019
623,81,1010016,9,C,66,1019
624,81,1010016,5,C,66,1019
625,81,1010016,52,C,66,1019
626,81,1010016,32,C,66,1019
627,81,1010016,31,C,66,1019
628,81,1010016,17,C,66,1019
629,81,1010016,31,C,66,1019
630,265,1010016,9,D,51,1002
631,265,1010010,7,D,51,1002
632,265,1010010,93,D,51,1002
633,265,1010017,10,D,51,1002
634,265,1010016,19,D,51,1002
635,265,1010016,32,D,51,1002
636,274,1010016,13,F,55,1005
637,274,1010016,8,F,55,1005
638,265,1010001,42,G,44,1002
639,265,1010001,42,G,44,1002
640,265,1010001,22,G,44,1002
641,265,1010001,73,G,44,1002
642,265,1010001,51,G,44,1002
643,265,1010001,22,G,44,1002
644,265,1010001,42,G,44,1002
645,297,1010001,10,I,79,1017
646,267,1010010,7,G,44,1002
647,267,1010016,73,G,44,1002
648,267,1010016,52,G,44,1002
649,273,1010016,9,I,79,1002
650,273,1010016,73,I,79,1002
651,273,1010001,9,I,79,1002
652,273,1010016,10,I,79,1002
653,273,1010001,9,I,79,1002
654,273,1010001,9,I,79,1002
655,273,1010017,10,I,79,1002
656,91,1010016,9,F,27,1020
657,286,1010016,9,B,61,1017
658,286,1010016,9,B,61,1017
659,286,1010016,12,B,61,1017
660,286,1010016,17,B,61,1017
661,286,1010016,17,B,61,1017
662,286,1010016,13,B,61,1017
663,306,1010016,9,B,61,1017
664,306,1010016,10,B,61,1017
665,262,1010016,9,S,22,1007
666,262,1010016,93,S,22,1007
667,262,1010016,73,S,22,1007
668,262,1010001,9,S,22,1007
669,262,1010001,9,S,22,1007
670,262,1010016,9,S,22,1007
671,262,1010016,93,S,22,1007
672,262,1010001,9,S,22,1007
673,262,1010001,10,S,22,1007
674,259,1010024,72,F,55,1011
675,259,1010024,93,F,55,1011
676,259,1010024,62,F,55,1011
677,259,1010024,21,F,55,1011
678,259,1010024,81,F,55,1011
679,259,1010024,9,F,55,1011
680,259,1010024,19,F,55,1011
681,259,1010024,51,F,55,1011
682,259,1010024,42,F,55,1011
683,259,1010010,13,F,55,1011
684,306,1010021,9,B,61,1017
685,297,1010012,7,I,79,1017
686,297,1010008,51,I,79,1017
687,297,1010012,73,I,79,1017
688,254,1010012,73,I,79,1002
689,254,1010001,73,I,79,1002
690,254,1010006,10,I,79,1002
691,254,1010017,50,I,79,1002
692,272,1010010,9,I,79,1002
693,256,1010016,10,G,44,1002
694,306,1010016,43,B,61,1017
695,304,1010016,9,H,79,1021
696,304,1010016,10,H,79,1021
697,304,1010016,51,H,79,1021
698,304,1010016,50,H,79,1021
699,304,1010016,73,H,79,1021
700,304,1010016,51,H,79,1021
701,304,1010016,9,H,79,1021
702,304,1010016,51,H,79,1021
703,256,1010017,73,G,44,1002
704,256,1010017,92,G,44,1002
705,304,1010013,7,I,79,1021
706,304,1010013,8,I,79,1021
707,304,1010013,7,I,79,1021
708,304,1010013,8,I,79,1021
709,304,1010013,9,I,79,1021
710,304,1010013,7,I,79,1021
711,304,1010013,9,I,79,1021
712,304,1010012,9,I,79,1021
713,304,1010016,9,I,79,1021
714,304,1010016,11,I,79,1021
715,304,1010016,11,I,79,1021
716,304,1010016,9,I,79,1021
717,304,1010016,7,I,79,1021
718,304,1010016,7,I,79,1021
719,83,1010016,50,D,52,1019
720,83,1010001,9,D,52,1019
721,83,1010001,51,D,52,1019
722,83,1010016,73,D,52,1019
723,66,1010014,11,D,52,1019
724,69,1010016,9,S,22,1019
725,245,1010016,8,G,44,1002
726,245,1010016,82,G,44,1002
727,245,1010001,73,G,44,1002
728,245,1010016,52,G,44,1002
729,245,1010016,42,G,44,1002
730,245,1010016,73,G,44,1002
731,262,1010016,9,S,22,1007
732,304,1010016,10,H,79,1021
733,304,1010013,9,H,79,1021
734,304,1010013,51,H,79,1021
735,304,1010013,73,H,79,1021
736,304,1010016,51,H,79,1021
737,304,1010016,9,H,79,1021
738,304,1010016,6,H,79,1021
739,304,1010016,11,H,79,1021
740,304,1010016,11,H,79,1021
741,304,1010016,6,H,79,1021
742,304,1010016,10,H,79,1021
743,304,1010016,8,H,79,1021
744,304,1010016,51,H,79,1021
745,304,1010016,51,H,79,1021
746,304,1010016,73,H,79,1021
747,304,1010013,10,H,79,1021
748,304,1010013,73,H,79,1021
749,304,1010013,8,H,79,1021
750,304,1010026,51,H,79,1021
751,304,1010016,73,H,79,1021
752,304,1010016,51,H,79,1021
753,304,1010016,10,H,79,1021
754,304,1010016,81,H,79,1021
755,304,1010016,10,H,79,1021
756,304,1010016,51,H,79,1021
757,304,1010016,10,H,79,1021
758,304,1010016,10,H,79,1021
759,304,1010016,51,H,79,1021
760,272,1010026,7,I,47,1009
761,272,1010016,9,I,47,1009
762,70,1010016,9,C,66,1019
763,70,1010016,73,C,66,1019
764,70,1010016,13,C,66,1019
765,70,1010016,5,C,66,1019
766,70,1010016,31,C,66,1019
767,70,1010016,3,C,66,1019
768,70,1010016,13,C,66,1019
769,70,1010016,93,C,66,1019
770,70,1010016,53,C,66,1019
771,70,1010016,21,C,66,1019
772,75,1010016,9,D,52,1019
773,75,1010016,51,D,52,1019
774,75,1010016,7,D,52,1019
775,304,1010016,9,I,79,1021
776,304,1010016,10,I,79,1021
777,304,1010016,13,I,79,1021
778,304,1010016,13,I,79,1021
779,304,1010016,73,I,79,1021
780,304,1010016,10,H,79,1021
781,304,1010016,9,H,79,1021
782,304,1010016,51,H,79,1021
783,304,1010016,43,H,79,1021
784,304,1010016,51,H,79,1021
785,304,1010016,22,H,79,1021
786,304,1010016,52,H,79,1021
787,304,1010016,42,H,79,1021
788,304,1010016,73,H,79,1021
789,304,1010016,7,H,79,1021
790,304,1010016,50,H,79,1021
791,304,1010016,22,H,79,1021
792,304,1010016,43,H,79,1021
793,304,1010016,43,H,79,1021
794,304,1010016,11,H,79,1021
795,304,1010016,10,H,79,1021
796,304,1010016,7,H,79,1021
797,304,1010016,9,H,79,1021
798,304,1010016,51,H,79,1021
799,304,1010016,10,H,79,1021
800,304,1010016,22,H,79,1021
801,304,1010016,92,H,79,1021
802,304,1010016,17,H,79,1021
803,304,1010016,6,H,79,1021
804,304,1010016,10,I,79,1021
805,304,1010016,9,I,79,1021
806,304,1010010,6,I,79,1021
807,304,1010016,73,I,79,1021
808,304,1010016,42,I,79,1021
809,304,1010010,7,I,79,1021
810,304,1010016,10,I,79,1021
811,304,1010016,43,I,79,1021
812,304,1010016,10,I,79,1021
813,304,1010016,7,I,79,1021
814,277,1010016,9,A,2,1005
815,277,1010016,10,A,2,1005
816,255,1010016,9,A,2,1005
817,255,1010016,32,A,2,1005
